k,Detected pixels (%),PSNR (dB),SSIM,Runtime (s)
1.5,11.747742,22.959799157055436,0.6025619314122982,4.507430141999976
2.0,7.485962,20.853839872445057,0.5460703252724081,5.841072371000337
2.5,3.8879395,17.906251327910944,0.43044298076813947,4.380441379999866
3.0,1.6693115,16.187471407921702,0.35026769056847573,4.914007665999634
