sigma,p_pct,PSNR_mean_AMF,PSNR_mean_BM3D,PSNR_mean_NLM,PSNR_mean_Noisy,PSNR_mean_Proposed,PSNR_std_AMF,PSNR_std_BM3D,PSNR_std_NLM,PSNR_std_Noisy,PSNR_std_Proposed,SSIM_mean_AMF,SSIM_mean_BM3D,SSIM_mean_NLM,SSIM_mean_Noisy,SSIM_mean_Proposed,SSIM_std_AMF,SSIM_std_BM3D,SSIM_std_NLM,SSIM_std_Noisy,SSIM_std_Proposed,Runtime_mean_s_AMF,Runtime_mean_s_BM3D,Runtime_mean_s_NLM,Runtime_mean_s_Noisy,Runtime_mean_s_Proposed,Runtime_std_s_AMF,Runtime_std_s_BM3D,Runtime_std_s_NLM,Runtime_std_s_Noisy,Runtime_std_s_Proposed
10,5,28.45002863525177,18.399333071561298,18.02402783440771,17.845910287913366,28.19267130946186,1.1634305951724158,0.42098031836581645,0.3494035425567279,0.33197246264247515,1.4045235409066594,0.7399152592006288,0.39447180955763134,0.3743201743662618,0.3482386543928708,0.7874602247214487,0.05525395183945012,0.08603463533805296,0.08690191806469037,0.0976354947439245,0.04924519319480617,0.18517751974995159,4.565170059624886,0.23435314362507143,0.0,4.96417189349999,0.01991393042324285,0.6830915221935117,0.06415704527016923,0.0,0.6309580012957635
10,10,28.034555649263055,15.269775826323736,15.080478468338734,15.055758553468147,24.723030054996347,1.143001719822763,0.4150815124024061,0.3928869779299831,0.396128043176959,1.135207429122535,0.7272587926133616,0.23204187340566085,0.2264469639065633,0.22351396978832272,0.6871227842474185,0.058871307584109606,0.08200735506428782,0.08125263136736549,0.08248134085058433,0.07523288067791534,0.19038580087510582,4.42478018745832,0.20149065887490755,0.0,5.056155037625028,0.02346265214808356,0.616000175046257,0.03493768149259292,0.0,0.7680363576227452
10,20,27.20873099305435,12.270642940696534,12.176047929063436,12.175482523461797,18.633028545586615,1.2413838332010547,0.3860051011490589,0.37808171840519095,0.3785562969901263,1.3401243616318017,0.7039698255966501,0.12869391851777565,0.12719239080749986,0.12715246798903238,0.4167763067760997,0.05912772941824998,0.05562531284649866,0.05524215318137036,0.05525920229038692,0.114387311110418,0.1934461367499883,4.004038106874835,0.20334234700002676,0.0,4.841305230833275,0.024363988771130694,0.6240775983110343,0.04301964267746996,0.0,0.6997092008973652
25,5,22.308797309497525,21.771173725783118,22.54532960858934,16.257946874775648,23.283049167581925,0.4811945834960799,1.286494210765146,1.4698256320456757,0.18261931290102393,0.6894319526493624,0.44133404964069634,0.5000249666262323,0.5487026886616139,0.2534639158260295,0.49707836000221145,0.09566346571563199,0.07154717643162743,0.044662767610805,0.09079834448090013,0.09417039909665285,0.18967999574996006,5.011418044291683,0.39693047020830363,0.0,5.086858692499845,0.021879596676727855,0.7294488891092664,0.0793098324691833,0.0,0.6258378634228265
25,10,21.91897276295597,16.99811043770552,17.024920952115743,14.187829239761848,21.9551619333775,0.4532986462702906,0.6435607868784436,0.8227966337285519,0.2550100258950181,0.8674452642486813,0.42603289987689025,0.26840488191597106,0.28808877521428483,0.18442641437354168,0.46105592776940557,0.09649718262325017,0.07336122116886712,0.05629565443097051,0.07328240301789403,0.09162115204831871,0.1892195915833478,4.713088676958212,0.3015786603750333,0.0,5.051493497041747,0.023503081842656894,0.6620103073468308,0.04905064592651735,0.0,0.6615332997253198
25,20,21.369172153056393,12.600846668399754,11.985297632183245,11.727897535815531,17.691607891129106,0.459552766346889,0.4424827852048948,0.37096143833530715,0.348652288718592,1.3097584797340496,0.4056032165724081,0.1295084635989353,0.11904701377889203,0.11515413027803445,0.33331454494994533,0.09528904668719566,0.05487512850908125,0.05100746332136974,0.05148978016234135,0.09195547615125935,0.19205490862520946,4.391290026333422,0.21276583474995428,0.0,4.917459995999972,0.022609148725329372,0.6117280035086747,0.04297047408491195,0.0,0.6095108380498334
