method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Proposed,28.65890764136164,0.7714198341746629,4.610401982999974,9,kodim09.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,18.254662152320453,0.29955603525472213,0.0,10,kodim10.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.058939575321546,0.7176690402402878,0.17567689699990297,10,kodim10.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.47222227883871,0.321255733343866,0.2145117720001508,10,kodim10.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.96251137008,0.343875786393556,5.605351088999669,10,kodim10.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.937574758521805,0.789543949612096,4.477736282000478,10,kodim10.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.871430209705522,0.33169074694444356,0.0,11,kodim11.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,28.691944888909582,0.7317375042760372,0.1760817499998666,11,kodim11.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.02761805523297,0.34557055324233754,0.20715784399999393,11,kodim11.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.4602629766206,0.3679344758821774,4.25546896600008,11,kodim11.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,28.800243442321907,0.795642115861252,5.574804722000408,11,kodim11.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.68542538340219,0.23704877402828786,0.0,12,kodim12.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.307673242678383,0.6584961677584946,0.1755296500004988,12,kodim12.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.96192574359385,0.2808160148958195,0.21512968099978025,12,kodim12.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.296340950793084,0.2968473709519895,4.077686075999736,12,kodim12.png,10,0.05,5,final,True,"(256, 256)",2.0
