method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
AMF,29.392538971256275,0.7501481431968212,0.17013948200019513,20,kodim20.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,13.770484962456312,0.18852998011252559,0.1885111859992321,20,kodim20.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,13.904200661387502,0.19445660482087232,3.8728058870001405,20,kodim20.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,26.784915022471026,0.817987732311517,5.819253456000297,20,kodim20.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.409304220923254,0.23246939129766586,0.0,21,kodim21.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.633204761587955,0.7020840661692619,0.2451634950002699,21,kodim21.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.429298230931836,0.23363214614172995,0.2773583479993249,21,kodim21.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.646011370309392,0.23911338729555145,4.028757009999936,21,kodim21.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.438892814863536,0.7208223489357801,4.663990785999886,21,kodim21.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.293612692754674,0.1710184208131738,0.0,22,kodim22.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,28.42129473105651,0.7056934236553758,0.17843125000035798,22,kodim22.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.311996279939386,0.17160769147514415,0.1788586339998801,22,kodim22.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.521396267109102,0.1771130487074172,5.583623569000338,22,kodim22.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.96781782888197,0.6448708352321713,4.506038819999958,22,kodim22.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.189641882785176,0.15806517897455347,0.0,23,kodim23.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,29.06960679747563,0.6937453000664711,0.17783218700060388,23,kodim23.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.226686931317946,0.16219536251975986,0.18189351900036854,23,kodim23.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.425751912275011,0.16643582124611972,3.857899992000057,23,kodim23.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,25.355435882874424,0.6272800357478261,5.937144471000465,23,kodim23.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,15.139948016016234,0.26305164283214183,0.0,24,kodim24.png,10,0.1,10,final,True,"(256, 256)",2.0
AMF,27.425862463775175,0.781237631774187,0.1779664590003449,24,kodim24.png,10,0.1,10,final,True,"(256, 256)",2.0
NLM,15.154085109464049,0.26455060018755067,0.18935021000015695,24,kodim24.png,10,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.342261328788823,0.27078154301233776,3.8675900050002383,24,kodim24.png,10,0.1,10,final,True,"(256, 256)",2.0
Proposed,24.39148530407417,0.7189860918379742,4.375039208000089,24,kodim24.png,10,0.1,10,final,True,"(256, 256)",2.0
Noisy,12.505704197208402,0.18493660965136,0.0,1,kodim01.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,25.529323148618282,0.7578062645526826,0.24881838599958428,1,kodim01.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.50580871520121,0.1849368205905151,0.2678128919997107,1,kodim01.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.60385066971761,0.18715915999820132,4.757487087999834,1,kodim01.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.111342423794266,0.42921821220021694,3.975488776999555,1,kodim01.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.154057731004578,0.05080679065391984,0.0,2,kodim02.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.79320420641594,0.5917869179012776,0.17704003600010765,2,kodim02.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.154384423627778,0.05081343997929057,0.17243492300076468,2,kodim02.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.25244233057715,0.05161725544142378,3.6351813189994573,2,kodim02.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,20.561135180843813,0.25276225452607887,6.352122041999792,2,kodim02.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.373675591328805,0.0852470826942799,0.0,3,kodim03.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.608171228845897,0.6437803090136052,0.177719426999829,3,kodim03.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.374246525676064,0.08526689905923696,0.17423228600000584,3,kodim03.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.475751418926084,0.08657858632092855,3.605764908999845,3,kodim03.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.56077854581047,0.3113348637761153,4.456558654999753,3,kodim03.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.29204641439431,0.08946855058821673,0.0,4,kodim04.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.15757348424267,0.6789987425196171,0.23091211799965095,4,kodim04.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.292499550092908,0.08946780281700899,0.2679571050002778,4,kodim04.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.392441522256732,0.09089201783616535,4.8026681459996325,4,kodim04.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.87185025220363,0.349274285000186,4.395109994999984,4,kodim04.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.964511854229345,0.24133832077479156,0.0,5,kodim05.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,25.271203606996977,0.8243248431316614,0.18774225099969044,5,kodim05.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,11.964677202359834,0.2413472323556952,0.1732523599994238,5,kodim05.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.04875116800679,0.24341928257366804,3.4378522259994497,5,kodim05.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.26679970977256,0.5834966332359542,5.4277587449996645,5,kodim05.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.093397158007583,0.11079676570468708,0.0,6,kodim06.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.996596850820573,0.6816852369585037,0.17641073300001153,6,kodim06.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.09424048994947,0.11090443017711284,0.17312478500025463,6,kodim06.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.18584368751914,0.11211762769668238,3.5628083450001213,6,kodim06.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.67165382777089,0.4179559201812628,4.333176275999904,6,kodim06.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.512043181906193,0.14432320765514503,0.0,7,kodim07.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.417937016253035,0.7419197152032853,0.22483323800042854,7,kodim07.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.5121529599169,0.14433898748052504,0.26493101100004424,7,kodim07.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.61330515058692,0.1462589250900103,4.83175459999984,7,kodim07.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.516111257059624,0.40613971056281706,4.123596042000827,7,kodim07.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.047249169668383,0.29354843364968186,0.0,8,kodim08.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,23.735358981689558,0.8054706406335831,0.18054010800005926,8,kodim08.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.047399961533586,0.2935517731184547,0.17316581700015377,8,kodim08.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.131883709579176,0.29613761683859957,3.379126812999857,8,kodim08.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.74223624216936,0.5574367932235457,5.39534222400016,8,kodim08.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.520927993587375,0.10699216965213307,0.0,9,kodim09.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.50350151618413,0.6444791430282593,0.17694377600037114,9,kodim09.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.521017096290546,0.10699223265459482,0.18430871599957754,9,kodim09.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.624430627440775,0.10840551041601677,3.580382309000015,9,kodim09.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.401709231765828,0.2941719849223234,4.299481645999549,9,kodim09.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.452576377442172,0.10002534173542026,0.0,10,kodim10.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.66965133238609,0.6761160305013657,0.17902175199924386,10,kodim10.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.452697257076471,0.10002723354002865,0.17274892899968108,10,kodim10.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.554597098128653,0.10140866031169876,5.194289249000576,10,kodim10.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.454590179457664,0.3151405270735114,4.215350937000039,10,kodim10.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.300255834081092,0.12294760253321846,0.0,11,kodim11.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.398564270571228,0.6976449696693421,0.1780955560006987,11,kodim11.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.30107682762343,0.12299717979117292,0.17572376000043732,11,kodim11.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.398558556196335,0.1244998937056984,3.5497801999999865,11,kodim11.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.15572241512045,0.4317169228382643,5.715665992999675,11,kodim11.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.168727075273807,0.07759788590575274,0.0,12,kodim12.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.099661865854564,0.6202274365415275,0.17942762399979983,12,kodim12.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.169449968761148,0.07762531039837764,0.17783129700001155,12,kodim12.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.266402863953413,0.07873390410243912,3.6130392769991886,12,kodim12.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,19.320018894261757,0.3102666231528755,4.4603134569997565,12,kodim12.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.300595868864391,0.19057592599775153,0.0,13,kodim13.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,25.392636545566788,0.7798721118876935,0.20176098899992212,13,kodim13.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.300687278232141,0.19056322211015952,0.2692774319993987,13,kodim13.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.39238905035769,0.19242093630017176,4.96734899600051,13,kodim13.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.46808474367856,0.46310783230098174,4.302312443999654,13,kodim13.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.133357427877428,0.15180445174970808,0.0,14,kodim14.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.969466736866345,0.7670787610492706,0.17917180099993857,14,kodim14.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.13410718227524,0.15185353258575743,0.17396646500037605,14,kodim14.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.225091317713272,0.15354990517464778,3.617688256999827,14,kodim14.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.622540846305473,0.4785024157725553,5.6606472639996355,14,kodim14.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.378229185097247,0.10237098223660238,0.0,15,kodim15.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.826949870086686,0.671161472200632,0.17808019899985084,15,kodim15.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,11.380514203833565,0.10255537352045659,0.1774353250002605,15,kodim15.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,11.4601266510254,0.103722691155906,3.5278002229997583,15,kodim15.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,22.016802400741703,0.5790492530256766,4.395184212999993,15,kodim15.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.404548773650088,0.07181911571822892,0.0,16,kodim16.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.419404280433497,0.6494213327519893,0.2257632110004124,16,kodim16.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.405195614596781,0.07184454990746791,0.26689521499974944,16,kodim16.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.507688553681506,0.07295814505491832,4.961922803999187,16,kodim16.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.70209457280091,0.3180601494983187,4.310269564000009,16,kodim16.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.80791137651436,0.11360527588686566,0.0,17,kodim17.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.885187077400765,0.7369769807038307,0.18067082700054016,17,kodim17.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,11.809356195069755,0.11375801448742878,0.17200385100022686,17,kodim17.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,11.896033413021383,0.1151561521806601,3.568555108999135,17,kodim17.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,19.650822280152987,0.5267470232106636,5.84154489499997,17,kodim17.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.970235610556596,0.12913478162171382,0.0,18,kodim18.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.692897928945214,0.7346004666273593,0.17686725599924102,18,kodim18.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,11.970997592842581,0.12910924123944725,0.17180561600071087,18,kodim18.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.060021351001406,0.1305448181574364,3.5356640509999124,18,kodim18.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,19.691242703133724,0.4729680559757106,4.722877129999688,18,kodim18.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.389681155596223,0.12628744186761962,0.0,19,kodim19.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.384461662681446,0.676617572983265,0.2280025290001504,19,kodim19.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.389928076818288,0.12628672620986228,0.26884631699977035,19,kodim19.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.490917614541088,0.12782736053080831,4.360010957999293,19,kodim19.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.86149903365296,0.34362825555998255,4.324631267000768,19,kodim19.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,10.922544437171005,0.09546840190053409,0.0,20,kodim20.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.519328213851608,0.7276735088561103,0.17043476199978613,20,kodim20.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,10.92434337571782,0.09579988172013702,0.17826855600014824,20,kodim20.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,10.99545989144865,0.09662457791153761,3.9696360020006978,20,kodim20.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,21.758124040199995,0.7140655453547367,5.875544524000361,20,kodim20.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.527310790803787,0.13698306750558817,0.0,21,kodim21.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.932986389358607,0.6821911337339283,0.1797509819998595,21,kodim21.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.527496598719036,0.1369741580917478,0.19282711199957703,21,kodim21.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.629181256896647,0.13856536360686017,3.639615611999943,21,kodim21.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.701983758045284,0.38308486157008237,5.549954591999267,21,kodim21.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.504651282034725,0.09378041394888194,0.0,22,kodim22.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,27.902462855501593,0.6805144226908684,0.23953521699968405,22,kodim22.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.50486348861941,0.09378731878112004,0.274098849999973,22,kodim22.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.608907220760184,0.09515340829072667,3.649196328000471,22,kodim22.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.204259745275966,0.3097674896792889,4.202365869999994,22,kodim22.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.26638127803372,0.0840986208102129,0.0,23,kodim23.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,28.23206467190062,0.6661728759388924,0.17969538800025475,23,kodim23.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.266703890485118,0.08410977450943678,0.1832612500002142,23,kodim23.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.366639756995117,0.08542021957360478,4.821186547000252,23,kodim23.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.752423884418295,0.3187199293730818,4.660952797000391,23,kodim23.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.22096079875153,0.14770199129446357,0.0,24,kodim24.png,10,0.2,20,final,True,"(256, 256)",2.0
AMF,26.670950091832268,0.7587549252410531,0.18546911600060412,24,kodim24.png,10,0.2,20,final,True,"(256, 256)",2.0
NLM,12.22130582220337,0.14770624425496204,0.17400645799989434,24,kodim24.png,10,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.314715696385745,0.1494820261578054,3.5281551969992506,24,kodim24.png,10,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.128858925642625,0.4360158206121641,5.195076191000226,24,kodim24.png,10,0.2,20,final,True,"(256, 256)",2.0
Noisy,16.394663524650483,0.3586076923944212,0.0,1,kodim01.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,21.69714653196397,0.5468125368555039,0.2298761080000986,1,kodim01.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.976536524407088,0.5365091784097435,0.5391474999996717,1,kodim01.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.0309169289485,0.5835821217825902,4.3899073559996395,1,kodim01.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.633726991765766,0.6041442159554511,4.498080149999623,1,kodim01.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.217338670155016,0.12044776315476065,0.0,2,kodim02.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.705074361831375,0.2772211155429832,0.17772480200073915,2,kodim02.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,24.411606196950455,0.4982688189068252,0.3873383760001161,2,kodim02.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,21.97387720893949,0.36188435350303527,6.244871173999854,2,kodim02.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.799165874588013,0.32288389306821486,4.706201641000007,2,kodim02.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.406784114424273,0.1770441400088203,0.0,3,kodim03.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.51938666899971,0.3488257992772814,0.18619079699965368,3,kodim03.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,24.508861494727277,0.591210211649214,0.39254578500003845,3,kodim03.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,23.297888488748928,0.4847058706482156,5.906681454000136,3,kodim03.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.742519994658423,0.4022490108514875,4.86675141700016,3,kodim03.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.264265780415656,0.19123708202197187,0.0,4,kodim04.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.54071994794327,0.38491746285447664,0.17687566800032073,4,kodim04.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,23.66122717143961,0.5471104110397408,0.38462429999981396,4,kodim04.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.37053901740857,0.4604938917775423,4.602814412000043,4,kodim04.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.65344340281752,0.4394081694070818,6.21196318300008,4,kodim04.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.100780534508484,0.445885764941973,0.0,5,kodim05.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,21.680430016523392,0.6490386372747217,0.18079359300008946,5,kodim05.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,19.645803435972685,0.5726245967165897,0.31583510099972045,5,kodim05.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,19.91547298394051,0.6006722226660345,4.102821763000065,5,kodim05.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.118816402755215,0.6815234643059047,4.855753325000478,5,kodim05.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.217544444534195,0.23034973810047948,0.0,6,kodim06.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.297983464627194,0.412646317266554,0.22989963500003796,6,kodim06.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,22.312725248090178,0.49676637153470743,0.5862887040002533,6,kodim06.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,21.284090695034767,0.45300550479370555,5.28760383900044,6,kodim06.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.37244803072145,0.4792628457278991,4.700770858999931,6,kodim06.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.549877636622238,0.29314998705489587,0.0,7,kodim07.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.25715902500761,0.49345744693238275,0.1759831640001721,7,kodim07.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,23.183234723131662,0.6244119462786777,0.3553396500001327,7,kodim07.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,23.085581924062588,0.6084372257923563,6.0154833229998985,7,kodim07.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.260868321880622,0.5482646230179816,4.566384303999257,7,kodim07.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.247825940546715,0.49496748061358053,0.0,8,kodim08.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,21.10698804267542,0.6535667485621705,0.179135774000315,8,kodim08.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,19.726448408188077,0.6533215061827143,0.29686243499963894,8,kodim08.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,20.383906844734113,0.6722915320978277,4.155263871999523,8,kodim08.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,21.523523187272215,0.6969926235906239,5.786683861999336,8,kodim08.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.408582116933722,0.2039415327819945,0.0,9,kodim09.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.340451911963697,0.3684509167604347,0.17921825399935187,9,kodim09.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,23.964242942302878,0.5997617138580137,0.38555609800005186,9,kodim09.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,23.389722542944355,0.5156114944537666,4.66392775300028,9,kodim09.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.425425047854077,0.4230610773660615,6.4647336589996485,9,kodim09.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.543197838721547,0.21503448232542755,0.0,10,kodim10.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.41735339855227,0.39525465619449784,0.17838574500001414,10,kodim10.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,24.38647669277148,0.5836712930099142,0.37355122699955245,10,kodim10.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,23.757338182170326,0.5269112131547449,4.708191903000625,10,kodim10.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.501506937686322,0.4501948816315979,4.797017374000461,10,kodim10.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.329610183687056,0.24426780566481812,0.0,11,kodim11.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.41076189296537,0.4293657641483075,0.24238467699979083,11,kodim11.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,22.477780659623505,0.5475588263914299,0.5675886970002466,11,kodim11.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.15489375175867,0.5218881664383991,5.385180346999732,11,kodim11.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.63156632426728,0.49138757340350936,4.507539245999396,11,kodim11.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.22693315235926,0.16018686788264552,0.0,12,kodim12.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.624489870602936,0.3251458370885267,0.17908278899994912,12,kodim12.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,23.437962454958612,0.5362139412126411,0.3827802160003557,12,kodim12.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,21.887784893232087,0.4049233353990503,5.999257516999933,12,kodim12.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.501061134065097,0.3703850529546738,4.534507516999838,12,kodim12.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.364772895055804,0.3725349720629939,0.0,13,kodim13.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,21.612111176560692,0.5600357094142548,0.1753195040000719,13,kodim13.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,20.959840109985812,0.5137948862923176,0.3367701309998665,13,kodim13.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,20.88138015576313,0.5407933961663433,4.398306604000027,13,kodim13.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.280399686485907,0.6018512360708732,5.8693324830001075,13,kodim13.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.215116389943198,0.3098530563240402,0.0,14,kodim14.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.185785932215985,0.5196353061126319,0.17596226999921782,14,kodim14.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.537979749339712,0.5236631741690604,0.34911158199975034,14,kodim14.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,21.035897203999447,0.5167992513065549,4.35765908599933,14,kodim14.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.867998773003954,0.5602669419343136,5.697077437000189,14,kodim14.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,15.844631760093861,0.20118642787744873,0.0,15,kodim15.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,23.002403056725676,0.3996759221872407,0.22969057800037262,15,kodim15.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.33594640024897,0.505999067870856,0.3785542969999369,15,kodim15.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,19.879191932844947,0.4149331848256573,4.436798990999705,15,kodim15.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,24.28279383991825,0.4805122474883166,4.452769757999704,15,kodim15.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.294437661651028,0.16245705123021376,0.0,16,kodim16.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.51948309388361,0.34068710391713414,0.17668778200004454,16,kodim16.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,24.269965217598674,0.5141476357452266,0.38358972599962726,16,kodim16.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.72005176641249,0.43700314948482877,6.010855237000214,16,kodim16.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.71870849405215,0.39501924144952444,4.5522628119997535,16,kodim16.png,25,0.05,5,final,True,"(256, 256)",2.0
