Variant,PSNR (dB),SSIM,Runtime (s)
BM3D only,17.067880069728698,0.3649714552786227,3.971420462000424
Repair + BM3D,25.117097437050884,0.7111357722491547,5.766152664999936
Repair + BM3D + Confidence Fusion,20.853839872445057,0.5460703252724081,4.3989153510001415
