Method,PSNR (dB),SSIM,Runtime (s)
Noisy,14.417579424524057,0.26886664897878443,0.0
AMF,21.272601632575817,0.5283780884857567,0.17537637800069206
NLM,16.911268412320695,0.3554870883316018,0.27367310600038763
BM3D,17.067880069728698,0.3649714552786227,4.078082653999445
Proposed,20.853839872445057,0.5460703252724081,4.835637503000726
